Machine_Type,Company Code,Name of recipient,Equipment,Description of technical object,Status,Specification,Chassis number,Engine serial number,Engine Model,Engine power,Engine capacity,License plate number,Tax,Insurance,Duties,Note,Class,Asset,Manufacturer of asset,Keyword,Registered
Support,1000,แพล้นท์ Segment สระบุรี_1000,CONT-005,ชุดเครื่องมือทดสอบงานคอนกรีต,ใช้งาน,,,,,0,0,,,,0,,CONT,123000000000,,ชุดเครื่องมือทดสอบงานคอนกรีต,
Support,1000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,COR-003,เครื่องคอริ่ง STS-C172,ใช้งาน,,,,,0,0,,,,0,,COR,121000000000,,เครื่องคอริ่ง,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,COR-004,เครื่องคอริ่ง Eibenstock 2500W. DB160,เสีย/รอซ่อม,,,,,0,0,,,,0,,COR,123000000000,,เครื่องคอริ่ง,
Support,2000,ทล.3901ตอน2.2_2000,COR-005,เครื่องคอริ่ง HONDA,Stand by/รอย้าย,,,,,0,0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,2000,ศูนย์ซ่อมสระบุรี_2000,COR-006,เครื่องคอริ่งไฟฟ้า+เครื่องปั่นไฟฟ้า,เสีย/รอซ่อม,,600905,,,"4,650",0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,2000,พระราม 3-ตอน 1_2000,COR-007,เครื่องคอริ่งแบบเข็น เครื่องยนต์,Stand by/รอย้าย,,,,,0,0,,,,0,,COR,221000000000,,เครื่องคอริ่ง,
Support,2000,รถไฟ4-7สระบุรี_2000,COR-008,เครื่องคอริ่งมือ Baier ไฟฟ้า,ใช้งาน,,,,,0,0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,2000,รถไฟ4-7สระบุรี_2000,COR-009,เครื่องคอริ่งมือ Baier ไฟฟ้า,ใช้งาน,,,,,0,0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,1000,พระราม 3-ตอน 1_1000,COR-010,เครื่องคอริ่งไฟฟ้าแบบแท่น EE-DB 201,Stand by/รอย้าย,สำหรับพระราม 3 ตอน 1,,,,0,0,,,,0,,COR,123000000000,,เครื่องคอริ่ง,
Support,1000,พระราม 3-ตอน 1_1000,COR-011,เครื่องคอริ่งไฟฟ้าแบบแท่น EE-DB 201,Stand by/รอย้าย,สำหรับพระราม 3 ตอน 1,,,,0,0,,,,0,,COR,123000000000,,เครื่องคอริ่ง,
Support,2000,ทล.3901ตอน2.2_2000,COR-012,"เครื่องคอริ่งไฟฟ้าแบบแท่น 3,500W",Stand by/รอย้าย,,,,,0,0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,2000,รถไฟ4-7สระบุรี_2000,COR-014,เครื่องคอริ่ง Eibenstock 2300W. DBE182,ใช้งาน,,,,,0,0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,2000,รถไฟ4-7สระบุรี_2000,COR-015,เครื่องคอริ่ง Eibenstock 2300W. DBE182,ใช้งาน,,,,,0,0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,2000,รถไฟ4-7สระบุรี_2000,COR-016,เครื่องคอริ่ง Eibenstock 2300W. DBE182,ใช้งาน,,,,,0,0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,2000,ควนกุน ตอน 1,COR-017,เครื่องคอริ่ง Core Drilling Macine,ใช้งาน,พร้อมเครื่องกำเนิดไฟ,,,,0,0,,,,0,,COR,223000000000,,เครื่องคอริ่ง,
Support,1000,ควนกุน ตอน 2,COR-018,เครื่องคอริ่ง Core Drilling Macine,ใช้งาน,พร้อมเครื่องกำเนิดไฟ,,,,0,0,,,,0,,COR,123000000000,,เครื่องคอริ่ง,
Support,2000,รถไฟ4-7สระบุรี_2000,CP-056,"เครื่องลม AIRMAN,PDS 175 CFM",ใช้งาน,สั่งสายลมเพิ่ม,,ISUZU-C240-733990,ISUZU C240,0,0,,,,0,,CP,221000000000,,เครื่องลม,
Support,3000,ทล.3901ตอน2.2_3000,CP-062,เครื่องลม INGERSOLL RAND P375 -WCU,Stand by/รอใช้งาน,ชุด2 พานิช,264341-UAG-412,,,0,0,,,,0,,CP,321000000000,INGERSOLL RAND,เครื่องลม,
Support,2000,พระราม 3-ตอน 1_1000,CP-070,เครื่องลม AIRMAN PDS-185S-6C2 185CFM.,ใช้งาน,TRUSS LG,B4-6C29373,132826,YANMAR4TNV88-BXDHKS1,0,0,,,,0,,CP,223000000000,นำแสงจักรกล,เครื่องลม,
Support,2000,รถไฟ4-7สระบุรี_2000,CP-071,เครื่องลม AIRMAN PDS-185S-6C2 185CFM.,ใช้งาน,TRUSS LG,B4-6C29374,132828,YANMAR4TNV88-BXDHKS1,0,0,,,,0,,CP,223000000000,นำแสงจักรกล,เครื่องลม,
Support,1000,รถไฟ4-7สระบุรี_2000,CP-072,เครื่องลม AIRMAN PDS-185S-6C2 185CFM.,ใช้งาน,งานBLANCE BEAM,B4-6C2A001,,,0,0,,,,0,,CP,123000000000,,เครื่องลม,
Support,2000,รถไฟ4-7สระบุรี_2000,CP-073,เครื่องลม AIRMAN PDS-185S-6C2 185CFM,ใช้งาน,PM ฟรี 1000ชม.(4ครั้ง/ปี),B4-6C2D288,205662,,0,0,,,,0,,CP,223000000000,,เครื่องลม,
Support,1000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,CP-074,เครื่องลม AIRMAN PDS-185S-6C2 185CFM,ใช้งาน,,B4-6C2D290,505673,,0,0,,,,0,,CP,123000000000,,เครื่องลม,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,CPE-005,เครื่องปูคอนกรีต GOMAGO 6.0 M (เดี่ยว),เสีย/ซ่อม,ทำสีแล้ว/อุปกรณ์ไม่ครบ,,,,0,0,,,,0,,CPE,121000000000,GOMACO,เครื่องปูน/ปาดคอนกรีต,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,CPE-006,เครื่องปูคอนกรีตJV MACHINE6.0M(คู่),เสีย/ซ่อม,ทำสีแล้ว/อุปกรณ์ไม่ครบ,,,,0,0,,,,0,,CPE,121000000000,GOMACO,เครื่องปูน/ปาดคอนกรีต,
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,CPE-009,เครื่องปูคอนกรีต KONG KOLAKARN3.5M(คู่),เสีย/ซ่อม,สลับ 004,,YANMAR DIESEL ENGINE,,0,0,,,,0,,CPE,221000000000,KONG KOLAKARN,เครื่องปูน/ปาดคอนกรีต,10/2/2540
Heavy,3000,ศูนย์ซ่อมสระบุรี_3000,CPE-012,เครื่องปูคอนกรีตKONG KOLAKARN3.5M(คู่),เสีย/ซ่อม,ทำสีแล้ว/อุปกรณ์ไม่ครบ,,,,0,0,,,,0,,CPE,321000000000,KONG KOLAKARN,เครื่องปูน/ปาดคอนกรีต,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,CPE-014,เครื่องปูคอนกรีตGOMAGO C450(เดี่ยว),เสีย/ซ่อม,ทำสีแล้ว/อุปกรณ์ไม่ครบ,,,,0,0,,,,0,,CPE,121000000000,COMACO,เครื่องปูน/ปาดคอนกรีต,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,CPF-001,เครื่องโม่สนามผสมคอนกรีต,Stand by/รอใช้งาน,,,,,0,0,,,,0,,CPF,121000000000,,เครื่องผสมคอนกรีต,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,CPF-002,เครื่องโม่สนามผสมคอนกรีต,Stand by/รอใช้งาน,,,,,0,0,,,,0,,CPF,121000000000,,เครื่องผสมคอนกรีต,
Support,2000,ศูนย์ซ่อมสระบุรี_2000,CPF-003,เครื่องโม่สนามผสมคอนกรีต,Stand by/รอใช้งาน,,,,,0,0,,,,0,,CPF,221000000000,,เครื่องผสมคอนกรีต,
Support,2000,ศูนย์ซ่อมสระบุรี_2000,CPF-004,เครื่องโม่สนามผสมคอนกรีต,Stand by/รอใช้งาน,,,,,0,0,,,,0,,CPF,221000000000,,เครื่องผสมคอนกรีต,
Support,2000,ศูนย์ซ่อมสระบุรี_2000,CPP-001,เครื่องปั้มลมแบบหัวลูกสูบ 3หัว Motor..hp,เสีย/รอซ่อม,,,,,0,0,,,,0,,CPP,221000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,CPP-002,เครื่องปั้มลมแบบหัวลูกสูบ 3หัว KUBOTA,เสีย/รอซ่อม,SHOP พี่เปิ้ล,,,,0,0,,,,0,,CPP,121000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,CPP-003,เครื่องปั้มลมแบบหัวลูกสูบ 3หัว Motor..hp,เสีย/รอซ่อม,,,,,0,0,,,,0,,CPP,121000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,CPP-004,เครื่องปั้มลมแบบหัวลูกสูบ 3หัว HONDA,เสีย/รอซ่อม,,,,,0,0,,,,0,,CPP,121000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,แพล้นท์ยางตรัง_1000,CPP-005,เครื่องปั้มลมแบบหัวลูกสูบ 3หัว Motor10hp,Stand by/รอใช้งาน,,,,,0,0,,,,0,,CPP,121000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,3000,แพล้นท์ยางบางปะหัน_2000,CPP-006,เครื่องปั้มลมแบบหัวลูกสูบ 3หัว Motor15hp,ใช้งาน,แพล้นท์ยางสะบุรี,,,,0,0,,,,0,,CPP,321000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,แพล้นท์ Segment สระบุรี_1000,CPP-007,เครื่องปั๊มลม 5HP.1PH220V.300L.Motor Mit,ใช้งาน,,,,,0,0,,,,0,,CPP,121000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,แพล้นท์ Segment สระบุรี_1000,CPP-008,"เครื่องปั้มลม 15 HP,PUMA PP-315/520",ใช้งาน,,,,,0,0,,,,0,,CPP,121000000000,PUMA,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,CPP-009,เครื่องปั้มลม PUMA รุ่น PP32 ขนาด 148 L,เสีย/รอซ่อม,,,,,0,0,,,,0,,CPP,121000000000,PUMA,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,2000,สนญ ซีวิลเอนจีเนียริง จำกัด(มหาชน),CPP-010,เครื่องปั้มลม3สูบ PUMA 10 HP รุ่น PP35,ใช้งาน,,,,,0,0,,,,0,,CPP,221000000000,PUMA,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,แพล้นท์ Segment สระบุรี_1000,CPP-011,ปั้มลม Sullair oil-flooded screw 100Hp,ใช้งาน,,,,,0,0,,,,0,,CPP,121000000000,Air Receiver Tank 3000 lite,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,2000,ศูนย์ซ่อมสระบุรี_2000,CPP-012,เครื่องปั้มลม Puma Type PP-415/15HP/520L,เสีย/รอซ่อม,,,,,0,0,,,,0,,CPP,221000000000,PUMA,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,รถไฟ4-7สระบุรี_2000,CPP-014,เครื่องปั้มลม Puma Type PP-310/10HP,ใช้งาน,,,,,0,0,,,,0,,CPP,121000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,2000,อ่างเก็บน้ำห้วยฉลอม ตาก,CPP-015,เครื่องปั้มลม PUMA 3หัว PP315 15 HP 520L,ใช้งาน,โรงซ่อม,,,,0,0,,,,0,,CPP,221000000000,PUMA,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,แพล้นท์ Segment สระบุรี_1000,CPP-016,ปั๊มลม Sullair oil-flooded screw  75 Hp,ใช้งาน,,,37213070243,AS5SU3,0,0,,,,0,,CPP,121000000000,"Air Receiver Tank 2,000 liter",เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,CPP-017,เครื่องปั้มลม PUMA 3หัว PP-22 3HP 148L,Stand by/รอใช้งาน,,,,,0,0,,,,0,,CPP,121000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,อ่างเก็บน้ำห้วยฉลอม ตาก_1000,CPP-018,เครื่องปั้มลมมิตซูบิชิ SCL-KR7.5HP4P220V,Stand by/รอใช้งาน,,,,,7.5,0,,,,0,,CPP,123000000000,ไทยแสงเทรดดิ้ง,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,แพล้นท์ยางกระบี่_2000,CPP-019,เครื่องปั้มลม Puma Type PP-415/15HP/520L,ใช้งาน,,,,,0,0,,,,0,,CPP,121000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,CPP-020,เครื่องปั้มลม Puma Type PP-23/230/3HP,เสีย/รอซ่อม,,,,,0,0,,,,0,,CPP,123000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,พระราม 3-ตอน 1_1000,CPP-021,เครื่องปั๊ม Rotary 3.5HP-220V/50L,ใช้งาน,,,,,0,0,,,,0,,CPP,123000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,1000,แพล้นท์ยางตรัง_1000,CPP-022,เครื่องปั้มลม Puma Type PP-310/ 10HP,Stand by/รอใช้งาน,,,,,0,0,,,,0,,CPP,123000000000,T.P.C(2000)International group,เครื่องปั้มลมแบบหัวลูกสูบ,
Support,2000,ศูนย์อยุธยา,CPP-023,เครื่องปั๊มลม PUMA 3 สูบ Diesel 8.5 Hp,Stand by/รอใช้งาน,ขึ้นรถไม่ได้ใหญ่,,,,8.5,260,,,,0,,CPP,223000000000,,เครื่องปั้มลมแบบหัวลูกสูบ,
Plant,2000,แพล้นท์ผสมคอนกรีต กระบี่_2000,CPT-008,แพล้นท์ผสมคอนกรีตOCMER EXPO EMC60,เสีย/รอซ่อม,กระบี่/รง.4 TCEC,,,,0,0,,,,0,,CPT,221000000000,ITALY,แพล้นคอนกรีต,10/10/2534
Plant,2000,แพล้นท์ผสมคอนกรีต กระบี่_2000,CPT-009,แพล้นท์ผสมคอนกรีตOCMER EXPO EMC60,เสีย/รอซ่อม,กระบี่ / รง.4 CCSP,,,,0,0,,,,0,,CPT,221000000000,ITALY,แพล้นคอนกรีต,17/7/2545
Plant,1000,แพล้นท์คอนกรีตสระบุรี_1000,CPT-011,แพล้นท์ผสมคอนกรีตDAGO V1(MOBILE)1.25Cu.m,ใช้งาน,ใช้จด PQ ของ BC,,,,0,0,,,,0,,CPT,121000000000,DAGO,แพล้นคอนกรีต,
Plant,2000,ศูนย์ซ่อมสระบุรี_2000,CPT-012,แพล้นท์ผสมคอนกรีตDAGO V3 (MOBILE)2 Cu.m,Stand by/รอย้าย,สีคิ้ว/รง.4CCSP,,,,0,0,,,,0,,CPT,221000000000,DAGO,แพล้นคอนกรีต,
Support,2000,ศูนย์ซ่อมสระบุรี_2000,CRR-001,ลูกกลิ้งปาดหน้าคอนกรีต (Hyd.),เสีย/รอซ่อม,ใช้ในโครงการ อ.พนัสนิคม,,,,0,0,,,,0,,CRR,223000000000,,เครื่องลูกกลิ้งพร้อมชุดขับไฮดรอลิค,
Support,1000,,DAC-001,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-002,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-003,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-004,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-005,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-006,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-007,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-008,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-009,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-010,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-011,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-012,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-013,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-014,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-015,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-016,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-017,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-018,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-019,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-020,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-021,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-022,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-023,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-024,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-025,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-026,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-027,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-028,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-029,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-030,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-031,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-032,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-033,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-034,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-035,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-036,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-037,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-038,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-039,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-040,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-041,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-042,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-043,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-044,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-045,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-046,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-047,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,1000,,DAC-048,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB # 3 หลัง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-049,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-050,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-051,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-052,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-053,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-054,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-055,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-056,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #1 หน้า,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-057,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-058,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
Support,2000,,DAC-059,Double Acting Cylinder 250T/450B/ST200mm,ใช้งาน,LCB #2 กลาง,,,,0,0,,,,0,,DAC,,HSIN CHENG ENGINEER,DOUBLE ACTING CYLINDER,
